comm_id	external_ref	date	direction	channel	counterpart	subject	related_issues	status	evidence_path	next_action	due
MORAI-001	KATECH-SIM-ROS2	2026-07-04	OUT	email	MORAI support	ROS2 Native ros2cs 예외 및 rosbridge header.seq 질의	AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-001_avs007_inquiry.md	§1/§3 보강 승인 후 사용자 발송	2026-07-06
MORAI-002	KATECH-API-PY37	2026-07-04	OUT	email	MORAI support	sourcedefender 보호 Python API 지원버전·설치·라이선스 질의	AVS-006	TODO_DRAFT		초안 작성	
MORAI-003		2026-07-04	OUT	email	MORAI support	기능요청: ROS 연결 CLI/설정파일화·시나리오시작 자동Connect·런처 자동기동 인자·Headless 로드맵	R18	TODO_DRAFT		초안 작성(001 회신 흐름에 병행)	
MORAI-003		2026-07-04	OUT	email	MORAI support	기능요청: ROS 연결 CLI/설정파일화·시나리오시작 자동Connect·런처 자동기동 인자·Headless 로드맵; sourcedefender 제거 정책·API 공식 아카이브	R18	TODO_DRAFT		AMEND: subject 에 sourcedefender 제품개선 추가(MORAI-002 §6 이관)	
MORAI-002	KATECH-API-PY37	2026-07-04	OUT	email	MORAI support	sourcedefender 보호 Python API 지원버전·설치·라이선스 질의	AVS-006	DRAFT	vendor/morai/OUTBOX/MORAI-002_avs006_inquiry.md	AMEND: 초안 완료(DRAFT); 사용자 검토·발송	
MORAI-001	KATECH-SIM-ROS2	2026-07-04	OUT	email	MORAI support	ROS2 Native ros2cs 예외 및 rosbridge header.seq 질의	AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-001_avs007_inquiry.md	AMEND: §1/§3 보강 완료; N회 기입 후 사용자 발송	2026-07-06
MORAI-001	KATECH-SIM-ROS2	2026-07-06	OUT	email	MORAI support	ROS2 Native ros2cs 예외 및 rosbridge header.seq 질의	AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-001_avs007_inquiry.md	AMEND: 재검증 완료(N=3, 2026-07-06) — 발송 준비 완료, 사용자 발송	2026-07-08
MORAI-002	KATECH-API-PY37	2026-07-06	OUT	email	MORAI support	sourcedefender 보호 Python API 지원버전·설치·라이선스 질의	AVS-006	DRAFT	vendor/morai/OUTBOX/MORAI-002_avs006_inquiry.md	AMEND: 재검증 완료(N=3, 2026-07-06) — 발송 준비 완료, 사용자 발송	2026-07-08
MORAI-004		2026-07-06	OUT	email	MORAI CTO	과제협조요청 커버 (CTO 수신, 001/002 첨부)	AVS-006,AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-004_cover_cto.md	본문 붙여넣기 후 발송	2026-07-08
MORAI-004		2026-07-06	OUT	email	MORAI CTO	과제협조요청 커버 (CTO 수신, 001/002 첨부)	AVS-006,AVS-007	DRAFT	vendor/morai/OUTBOX/MORAI-004_cover_cto.md	AMEND: 본문 반영·첨부 정합 확인 — 발송 준비 완료, 사용자 발송	2026-07-08
